fr_Subject,fr_Predicate,fr_Object,Triple_ID,fr_Subject_concept,fr_Predicate_concept,fr_Object_concept
information,depend de,de cas,directive_(eu)_2016_800_en.txt,desinformation:information:infraction,-,-
ou mesurer,recevoir,a l'enfant,directive_(eu)_2016_800_en.txt,-,-,-
lettre,inclure clair,sous directive,directive_(eu)_2016_800_en.txt,-,-,directive
22 Etats membres,informer,en cours d'ecriture,directive_(eu)_2016_800_en.txt,-,-,-
information,fourni,d'enfant,directive_(eu)_2016_800_en.txt,desinformation:information:infraction,four,-
information,fourni a,autorite competente,directive_(eu)_2016_800_en.txt,desinformation:information:infraction,four,autoroute
avec support,est,avec un enfant,directive_(eu)_2016_800_en.txt,-,-,enfant
qui,fourni a,responsabilite parentale,directive_(eu)_2016_800_en.txt,-,four,responsabilite:parente:responsabilite contractuelle:responsabilite internationale:responsabilite parentale:responsabilite penale
exigence,prolonger,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
OMS,ont,avec directives,directive_(eu)_2016_800_en.txt,-,-,directive
ils,assiste par,dans la directive,directive_(eu)_2016_800_en.txt,-,-,directive
ou enfant,organiser,une telle aide,directive_(eu)_2016_800_en.txt,enfant,-,acide
assurer l'enfant necessaire,fournir juridique,avocat assiste efficacement,directive_(eu)_2016_800_en.txt,-,fournisseur,avocat
enfant,presuppose,sous directive,directive_(eu)_2016_800_en.txt,enfant,-,directive
telle disposition,postuler a,/ UE,directive_(eu)_2016_800_en.txt,-,-,-
derogations,affecter,droit syndical national,directive_(eu)_2016_800_en.txt,-,-,syndicat:nationalisme:nationalite:droit fiscal:droit medical:droit social:droits syndicaux
ils,appliquer sans exces,mis au courant,directive_(eu)_2016_800_en.txt,-,-,mais
assistance,signifie legal,procedure penale,directive_(eu)_2016_800_en.txt,-,legalite,procedure penale:procedure speciale
avocat,etre present,pendant l'interrogatoire,directive_(eu)_2016_800_en.txt,avocat,-,-
assistance,exiger,preuve presente acte,directive_(eu)_2016_800_en.txt,-,-,preuve
enquete,inclure,loi nationale,directive_(eu)_2016_800_en.txt,-,-,loi:nationalisme:nationalite
enfant suspect,ont,des droits de l'homme,directive_(eu)_2016_800_en.txt,enfant,-,droits de lhomme
ou enfant,rend express,procedure penale,directive_(eu)_2016_800_en.txt,enfant,-,procedure penale:procedure speciale
il,suspendu,avec directives,directive_(eu)_2016_800_en.txt,-,-,directive
meilleurs interets,etre capable,de cas,directive_(eu)_2016_800_en.txt,interet,-,-
quand ils,assiste par,bien la detention,directive_(eu)_2016_800_en.txt,-,-,-
permettre a l'enfant,impose comme,devant le tribunal,directive_(eu)_2016_800_en.txt,-,commune,-
Etats membres,etre capable,en ce qui concerne,directive_(eu)_2016_800_en.txt,-,-,concurrence
Action immediate,etre capable,infraction penale,directive_(eu)_2016_800_en.txt,-,-,inflation:information:infraction
un tel questionnement,etre capable,s'incriminer,directive_(eu)_2016_800_en.txt,-,-,-
ce,etre possible,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
abus,prejudice,de defense,directive_(eu)_2016_800_en.txt,-,-,depense
ils,ensemble,utilisation restreinte,directive_(eu)_2016_800_en.txt,-,-,-
derogation temporaire,etre proportionnel,de la procedure,directive_(eu)_2016_800_en.txt,-,-,-
pas de decision,assurer,pendant la phase d'essai,directive_(eu)_2016_800_en.txt,decision,-,-
33 confidentialite,C est la cle,proces equitable,directive_(eu)_2016_800_en.txt,confidentialite,-,-
Etats membres,respect,sans derogation,directive_(eu)_2016_800_en.txt,-,-,-
avocat,est sans,infraction penale,directive_(eu)_2016_800_en.txt,avocat,-,inflation:information:infraction
activite criminelle,considere,de directive,directive_(eu)_2016_800_en.txt,-,-,directive
arrangements,implique,telle respecter la confidentialite,directive_(eu)_2016_800_en.txt,-,-,confidentialite
autoriser les autorites competentes,est sans,entre enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
a la correspondance,est,tribunal soumis competent,directive_(eu)_2016_800_en.txt,correspondance,-,-
ce,est sans,autorites competentes,directive_(eu)_2016_800_en.txt,-,-,-
titre v,est,Securite interne,directive_(eu)_2016_800_en.txt,-,-,interet:internaute:securite aerienne:securite alimentaire:securite internationale:securite routiere
dans la mesure ou ils,ont,peine particuliere,directive_(eu)_2016_800_en.txt,-,-,peinture
evaluation individuelle,prendre en,comme troubles d'apprentissage,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,commune
enfant enleve,etre possible,d'offense,directive_(eu)_2016_800_en.txt,enfant:eleve,-,-
il,utilise,passe recent,directive_(eu)_2016_800_en.txt,-,-,-
mesure specifique,prendre,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
conditions prevues,prevenir,de la procedure,directive_(eu)_2016_800_en.txt,preuve,-,-
evaluation individuelle,concernant,de mesures,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,-
evaluation individuelle,evalue,-,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,-
information,prendre,du proces,directive_(eu)_2016_800_en.txt,desinformation:information:infraction,-,-
a condition que cela,etre possible,le meilleur est l'interet,directive_(eu)_2016_800_en.txt,-,-,interet
evaluation individuelle,etre,telle detention disponible,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,-
derogation prevue,etre capable,le mieux est les interets compatibles,directive_(eu)_2016_800_en.txt,preuve,-,interet:comptable
cas,pris dans,sans acte d'accusation,directive_(eu)_2016_800_en.txt,-,-,accusation
ou les enfants,sous-tend,position de faiblesse,directive_(eu)_2016_800_en.txt,enfant,-,position dominante
enfant,ont,examen medical,directive_(eu)_2016_800_en.txt,enfant,-,examen:examen medical
indications sanitaires specifiques,porte,avocat pour enfants,directive_(eu)_2016_800_en.txt,-,-,avocat:enfant
ce,poser,de tels examens,directive_(eu)_2016_800_en.txt,-,-,examen
deux demandes,adresse,de temps,directive_(eu)_2016_800_en.txt,-,-,-
ils,sont,qui,directive_(eu)_2016_800_en.txt,-,-,-
meilleurs interets,enregistre,de liberte,directive_(eu)_2016_800_en.txt,interet,-,-
directif,exiger,par juge,directive_(eu)_2016_800_en.txt,directive,-,juge
il,etre capable,meilleurs interets compatibles,directive_(eu)_2016_800_en.txt,-,-,interet:comptable
ce,porte,des enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
quand ils,sont dans,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
privation,entreprise,dans la societe,directive_(eu)_2016_800_en.txt,privatisation,entreprise,societe
Etats membres,rendre pratique,de la garde a vue,directive_(eu)_2016_800_en.txt,-,-,garde a vue
delit delictuel,est sans,dans des situations,directive_(eu)_2016_800_en.txt,-,-,-
-,-,je,directive_(eu)_2016_800_en.txt,-,-,-
autorites competentes,considerer,de telles mesures,directive_(eu)_2016_800_en.txt,-,-,-
enfant,inclure,programmes therapeutiques,directive_(eu)_2016_800_en.txt,enfant,-,therapeutique
qui,faire l'objet,par le tribunal,directive_(eu)_2016_800_en.txt,-,-,-
qui,etre possible,autorite judiciaire,directive_(eu)_2016_800_en.txt,-,-,autoroute
examen de l'enfant,prevoir des pratiques,tribunal d'office,directive_(eu)_2016_800_en.txt,examen,-,-
detenus ils,beneficier d'offres speciales,mesures de protection speciales,directive_(eu)_2016_800_en.txt,detenu,benefice,protectionnisme
il,detenu,d'enfant,directive_(eu)_2016_800_en.txt,-,detenu,-
il,etre possible,de personne,directive_(eu)_2016_800_en.txt,-,-,personnel
enfants detenus,versee a,vulnerabilite inherente,directive_(eu)_2016_800_en.txt,enfant:detenu,-,-
enfants,ont,leurs besoins,directive_(eu)_2016_800_en.txt,enfant,-,-
ce,assurer,meilleurs interets compatibles,directive_(eu)_2016_800_en.txt,-,-,interet:comptable
ce,etre possible,meilleurs interets contraires,directive_(eu)_2016_800_en.txt,-,-,interet
vigilance particuliere,requis sur,integrite physique,directive_(eu)_2016_800_en.txt,-,-,interet
determiner les personnes,est,loi nationale,directive_(eu)_2016_800_en.txt,personnel,-,loi:nationalisme:nationalite
personnes,encourage,jeunes adultes qualifies,directive_(eu)_2016_800_en.txt,personnel,-,jeune:adulte
Etats membres detenus,prendre ce qu'il faut,dans la directive,directive_(eu)_2016_800_en.txt,detenu,-,directive
de telles mesures,assurer,a la vie de famille,directive_(eu)_2016_800_en.txt,-,-,famille
restrictions correspondantes exceptionnelles,ont,de la justice,directive_(eu)_2016_800_en.txt,correspondance,-,-
52 Etats membres,prendre ce qu'il faut,d'enfant,directive_(eu)_2016_800_en.txt,-,-,-
Etats membres,se retenir de,d'enfant,directive_(eu)_2016_800_en.txt,-,-,-
Etats membres,requis,enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
Etats membres appropries,prendre ce qu'il faut,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
mesures,etre proportionne,sa duree,directive_(eu)_2016_800_en.txt,-,-,-
procedure,prendre en,adapte pour les adapter,directive_(eu)_2016_800_en.txt,-,-,-
professionnels,entraine a,s'occuper d'enfants,directive_(eu)_2016_800_en.txt,-,-,-
ils,traite dans,ce,directive_(eu)_2016_800_en.txt,-,-,-
-,-,de l'union europeenne,directive_(eu)_2016_800_en.txt,-,-,-
confidentialite,assure dans,dans la societe,directive_(eu)_2016_800_en.txt,confidentialite,assurance,societe
tribunaux,fournir,du public,directive_(eu)_2016_800_en.txt,-,fournisseur,publicite
ce,est sans,6 chr,directive_(eu)_2016_800_en.txt,-,-,-
ils,ont,dans lequel,directive_(eu)_2016_800_en.txt,-,-,-
ce,ont,efforts raisonnables,directive_(eu)_2016_800_en.txt,-,-,-
personne accompagnante,poser,des audiences du tribunal,directive_(eu)_2016_800_en.txt,personnel,-,-
meilleurs interets,adresse,pris en compte pris en compte,directive_(eu)_2016_800_en.txt,interet,-,comptable:compte:comte:comptable:compte:comte
enfant,ont,responsabilite parentale,directive_(eu)_2016_800_en.txt,enfant,-,responsabilite:parente:responsabilite contractuelle:responsabilite internationale:responsabilite parentale:responsabilite penale
avec support,est,activite criminelle,directive_(eu)_2016_800_en.txt,-,-,-
ils,ont,lors des interrogatoires de police,directive_(eu)_2016_800_en.txt,-,-,police
60 a droite,base sur,des droits de l'homme,directive_(eu)_2016_800_en.txt,-,-,droits de lhomme
ou ca,prendre ce qu'il faut,adulte approprie,directive_(eu)_2016_800_en.txt,-,-,adulte
Etats membres,prevoir des pratiques,au proces,directive_(eu)_2016_800_en.txt,-,-,-
enfant,inclure,du proces,directive_(eu)_2016_800_en.txt,enfant,-,-
quand ils,postuler a,Etat membre d'execution,directive_(eu)_2016_800_en.txt,-,-,-
procedure de mandat d'arret europeen,sont cruciaux,affaires criminelles,directive_(eu)_2016_800_en.txt,mandat:procedure civile:procedure penale:mandat darret europeen,-,-
conformite,est essentiel,une cooperation aussi essentielle,directive_(eu)_2016_800_en.txt,-,-,cooperant:cooperative
delais,respecte,procedure de mandat d'arret europeen,directive_(eu)_2016_800_en.txt,-,-,mandat:procedure civile:procedure penale:mandat darret europeen
OMS,prendre ce qu'il faut,aux enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
OMS,prendre ce qu'il faut,impliquant des enfants,directive_(eu)_2016_800_en.txt,-,-,enfant
-,est,dans la directive,directive_(eu)_2016_800_en.txt,-,-,directive
ces donnees,inclure,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
-,21.5.2016,de l'union europeenne,directive_(eu)_2016_800_en.txt,-,-,-
Etats membres,respect,comme course,directive_(eu)_2016_800_en.txt,-,-,commune
66 directive,soutient,de defense,directive_(eu)_2016_800_en.txt,directive,-,depense
directif,mis en oeuvre dans,avec droits,directive_(eu)_2016_800_en.txt,directive,mais,-
67 directive,pose,regles minimales,directive_(eu)_2016_800_en.txt,directive,-,-
Etats membres,etre capable,de protection,directive_(eu)_2016_800_en.txt,-,-,protectionnisme
regles minimales,constituer,ce,directive_(eu)_2016_800_en.txt,-,-,-
niveau,tomber en dessous,des droits de l'homme,directive_(eu)_2016_800_en.txt,-,-,droits de lhomme
syndicat,adopter,5 evp,directive_(eu)_2016_800_en.txt,syndicat,-,-
au-dela de quoi,aller au-dela,atteindre les objectifs,directive_(eu)_2016_800_en.txt,-,allergie,-
Etats membres,prise,son application,directive_(eu)_2016_800_en.txt,-,-,-
Danemark,prise,son application,directive_(eu)_2016_800_en.txt,-,-,-
1 Etats membres,entreprise,instruments nationaux de transposition,directive_(eu)_2016_800_en.txt,-,entreprise,-
OMS,considere,a la decision-cadre,directive_(eu)_2016_800_en.txt,-,-,decision-cadre
OMS,s'applique a,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
suspect,s'applique jusqu'a,d'appel,directive_(eu)_2016_800_en.txt,-,-,-
OMS,s'applique a,avec articles,directive_(eu)_2016_800_en.txt,-,-,-
application,s'applique a,de personne,directive_(eu)_2016_800_en.txt,-,-,personnel
quand personne,decider,sur 21,directive_(eu)_2016_800_en.txt,personnel,-,-
OMS,s'applique a,autorite chargee de l'application de la loi,directive_(eu)_2016_800_en.txt,-,-,autoroute:chargement:loi
directif,affecter nationale,responsabilite criminelle,directive_(eu)_2016_800_en.txt,directive,nationalisme:nationalite,responsabilite:responsabilite civile:responsabilite contractuelle:responsabilite ministerielle:responsabilite penale
directif,postuler a,affaires criminelles,directive_(eu)_2016_800_en.txt,directive,-,-
ou enfant,appliquer,procedure penale,directive_(eu)_2016_800_en.txt,enfant,-,procedure penale:procedure speciale
qui,moyens,d'acces,directive_(eu)_2016_800_en.txt,-,-,-
personne,presume,de 18,directive_(eu)_2016_800_en.txt,personnel,-,-
-,-,aux informations,directive_(eu)_2016_800_en.txt,-,-,information
ils,assurer,de la procedure,directive_(eu)_2016_800_en.txt,-,-,-
aussi des enfants,assurer,dans la directive,directive_(eu)_2016_800_en.txt,enfant,-,directive
avoir titulaire,fourni,dans l'article,directive_(eu)_2016_800_en.txt,-,four,-
information,assurer,loi nationale,directive_(eu)_2016_800_en.txt,desinformation:information:infraction,-,loi:nationalisme:nationalite
lettre,assurer,sous directive,directive_(eu)_2016_800_en.txt,-,-,directive
avoir titulaire,.,responsabilite parentale,directive_(eu)_2016_800_en.txt,-,-,responsabilite:parente:responsabilite contractuelle:responsabilite internationale:responsabilite parentale:responsabilite penale
enfant,assurer,de l'union europeenne,directive_(eu)_2016_800_en.txt,enfant,-,-
son identite,compromettre,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
autorite competente,designer,a personne,directive_(eu)_2016_800_en.txt,autoroute,-,personnel
personne,etre,des enfants,directive_(eu)_2016_800_en.txt,personnel,-,enfant
4 qui,fourni a,responsabilite parentale,directive_(eu)_2016_800_en.txt,-,four,responsabilite:parente:responsabilite contractuelle:responsabilite internationale:responsabilite parentale:responsabilite penale
dans,affecter,droite,directive_(eu)_2016_800_en.txt,-,-,-
Leur permettre,assurer,de defense,directive_(eu)_2016_800_en.txt,-,-,depense
ils,assurer,mis au courant,directive_(eu)_2016_800_en.txt,-,-,mais
ils,assiste par,devant le tribunal,directive_(eu)_2016_800_en.txt,-,-,-
avocat interroge,inclure,lors d'un interrogatoire capable,directive_(eu)_2016_800_en.txt,avocat,-,-
de telles procedures,realisee en,de droit,directive_(eu)_2016_800_en.txt,-,-,-
personne suspecte,indique,de la criminalite,directive_(eu)_2016_800_en.txt,personnel:personne seule,-,criminalite
Etats membres,respect,sous directive,directive_(eu)_2016_800_en.txt,-,-,directive
une telle communication,inclure,loi nationale,directive_(eu)_2016_800_en.txt,telecommunication,-,loi:nationalisme:nationalite
meilleurs interets,deroger a,d'offense,directive_(eu)_2016_800_en.txt,interet,-,-
quand ils,assurer,b detention,directive_(eu)_2016_800_en.txt,-,-,-
permettre a l'enfant,assurer,devant le tribunal,directive_(eu)_2016_800_en.txt,-,-,-
ou enfant,reporter,pour enfant,directive_(eu)_2016_800_en.txt,enfant,repertoire,enfant
Action immediate,deroger a,infraction penale,directive_(eu)_2016_800_en.txt,-,-,inflation:information:infraction
autorites competentes,assurer,en compte,directive_(eu)_2016_800_en.txt,-,-,comptable:compte:comte
decision,pris,une revue judiciaire,directive_(eu)_2016_800_en.txt,decision,-,-
besoins specifiques,assurer,pris en compte pris en compte,directive_(eu)_2016_800_en.txt,-,-,comptable:compte:comte:comptable:compte:comte
OMS,evalue,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
enfant,prendre en,precis que,directive_(eu)_2016_800_en.txt,enfant,-,-
enfant,varier en fonction,evaluation individuelle,directive_(eu)_2016_800_en.txt,enfant,fonctionnaire,devaluation:reevaluation
mesure specifique,servir,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
evaluation individuelle,porte,avant l'acte d'accusation,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,accusation
evaluation individuelle,presente fourni,devant le tribunal,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,four,-
evaluations individuelles,porte,d'enfant,directive_(eu)_2016_800_en.txt,devaluation,-,-
ils,porte,dans les articles,directive_(eu)_2016_800_en.txt,-,-,-
evaluation individuelle,assurer,procedure penale mise a jour,directive_(eu)_2016_800_en.txt,devaluation:reevaluation,-,procedure penale:procedure speciale
a condition qu'il,deroger a,le mieux est les interets compatibles,directive_(eu)_2016_800_en.txt,-,-,interet:comptable
OMS,assurer,condition d'evaluation mentale,directive_(eu)_2016_800_en.txt,-,-,devaluation:metal
examen medical,etre,possible - medecin invasif,directive_(eu)_2016_800_en.txt,examen:examen medical,-,medecin:medecine
resultats,pris dans,enfant contre preuve,directive_(eu)_2016_800_en.txt,-,-,enfant:preuve:enfant naturel
indications sanitaires specifiques,porte,dans les articles,directive_(eu)_2016_800_en.txt,-,-,-
conclusion,Enregistre dans,en cours d'ecriture,directive_(eu)_2016_800_en.txt,-,-,-
Assistance medicale,fourni,-,directive_(eu)_2016_800_en.txt,assistance sociale,four,-
ou les circonstances se sont deroulees,assurer,-,directive_(eu)_2016_800_en.txt,-,-,-
-,article,de questionnement,directive_(eu)_2016_800_en.txt,-,-,-
meilleurs interets,assurer,de liberte,directive_(eu)_2016_800_en.txt,interet,-,-
qui,Enregistre dans,proces-verbal ecrit,directive_(eu)_2016_800_en.txt,-,-,-
article,etre sans,enregistrement audiovisuel,directive_(eu)_2016_800_en.txt,-,-,-
privation,assurer,de temps,directive_(eu)_2016_800_en.txt,privatisation,-,-
compte du,indisponible,de cas,directive_(eu)_2016_800_en.txt,comptable:compte:comte,-,-
privation,assurer,dernier recours,directive_(eu)_2016_800_en.txt,privatisation,-,-
retenue,assurer,par le tribunal,directive_(eu)_2016_800_en.txt,-,-,-
qui,faire l'objet,autorite judiciaire,directive_(eu)_2016_800_en.txt,-,-,autoroute
les decisions,assurer,retard injustifie,directive_(eu)_2016_800_en.txt,decision,-,-
autorites competentes,assurer,a la detention,directive_(eu)_2016_800_en.txt,-,-,-
-,article,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
il,assurer,meilleurs interets,directive_(eu)_2016_800_en.txt,-,-,interet
OMS,prevoir,avec personne,directive_(eu)_2016_800_en.txt,-,-,personnel
ce,detenu avec de jeunes,meilleurs interets contraires,directive_(eu)_2016_800_en.txt,-,detenu:jeune,interet
ce,prendre ce qu'il faut,de religion,directive_(eu)_2016_800_en.txt,-,-,religion
mesures,etre proportionne,de detention,directive_(eu)_2016_800_en.txt,-,-,-
points,postuler a,que la detention,directive_(eu)_2016_800_en.txt,-,-,-
mesures,etre proportionne,de liberte,directive_(eu)_2016_800_en.txt,-,-,-
ce,postuler a,de telles situations,directive_(eu)_2016_800_en.txt,-,-,-
ou rencontre,effort,exigences compatibles avec les enquetes,directive_(eu)_2016_800_en.txt,-,-,comptable
paragraphe,etre sans,a l'article,directive_(eu)_2016_800_en.txt,-,-,-
-,article,des cas,directive_(eu)_2016_800_en.txt,-,-,-
procedure penale,prendre,verifications necessaires,directive_(eu)_2016_800_en.txt,procedure penale:procedure speciale,-,-
ils,prendre ce qu'il faut,ce,directive_(eu)_2016_800_en.txt,-,-,-
-,-,de la vie privee,directive_(eu)_2016_800_en.txt,-,-,privilege
confidentialite,assurer,procedure penale,directive_(eu)_2016_800_en.txt,confidentialite,-,procedure penale:procedure speciale
assurer les enregistrements,prendre ce qu'il faut,dans l'article,directive_(eu)_2016_800_en.txt,-,-,-
. Etats membres,encourager,dans l'article,directive_(eu)_2016_800_en.txt,-,-,-
ils,assurer,dans lequel,directive_(eu)_2016_800_en.txt,-,-,-
son identite,.,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
autorite competente,designer,accompagner l'enfant,directive_(eu)_2016_800_en.txt,autoroute,-,-
cesser enfant,ont,audiences restantes,directive_(eu)_2016_800_en.txt,enfant,-,-
b presence,assurer,procedure penale,directive_(eu)_2016_800_en.txt,-,-,procedure penale:procedure speciale
-,-,en personne,directive_(eu)_2016_800_en.txt,-,-,personnel:bien personnel
enfants,assurer,leurs vues,directive_(eu)_2016_800_en.txt,enfant,-,-
OMS,assurer,dans la directive,directive_(eu)_2016_800_en.txt,-,-,directive
OMS,assurer,Etat membre d'execution,directive_(eu)_2016_800_en.txt,-,-,-
loi nationale,assurer,19 remedes,directive_(eu)_2016_800_en.txt,loi:nationalisme:nationalite,-,-
OMS,assurer,sous directive,directive_(eu)_2016_800_en.txt,-,-,directive
OMS,assurer,a l'enfant,directive_(eu)_2016_800_en.txt,-,-,-
OMS,prendre ce qu'il faut,formation specifique,directive_(eu)_2016_800_en.txt,-,-,information
de tels services,encourager,maniere impartiale fournie,directive_(eu)_2016_800_en.txt,service,-,fournisseur
comment les droits,envoyer,dans la directive,directive_(eu)_2016_800_en.txt,-,-,directive
8 ils,rencontrer,assurance medicale,directive_(eu)_2016_800_en.txt,-,-,assurance:coassurance:assurance maladie
qui,interprete comme,de protection,directive_(eu)_2016_800_en.txt,-,interet:commune,protectionnisme
Etats membres,Amener dans,11 juin,directive_(eu)_2016_800_en.txt,-,amende,-
ils,informer,commission immediate,directive_(eu)_2016_800_en.txt,-,-,commissionnaire
ils,contenir,publication officielle,directive_(eu)_2016_800_en.txt,-,conteneur,publication
methodes,pose,Etats membres,directive_(eu)_2016_800_en.txt,-,-,-
ils,communiquer a,directive couverte,directive_(eu)_2016_800_en.txt,-,commune,directive
Etats membres,soumettre,propositions legislatives,directive_(eu)_2016_800_en.txt,-,-,-
directif,entrer dans,de l'union europeenne,directive_(eu)_2016_800_en.txt,directive,-,-
27 destinataires,adressee a,avec des traites,directive_(eu)_2016_800_en.txt,-,-,-
-,fait a,a strasbourg,directive_(eu)_2016_800_en.txt,-,-,-
-,president,pour le conseil,directive_(eu)_2016_800_en.txt,-,-,-
conseil de 2000,directives,affaires criminelles,directive_2010_64_eu_en.txt,-,directive,-
reconnaissance mutuelle,Etats,droits individuels,directive_2010_64_eu_en.txt,-,-,-
Etats membres,presuppose,systemes de justice penale,directive_2010_64_eu_en.txt,-,-,-
qui,est,reconnaissance mutuelle,directive_2010_64_eu_en.txt,-,-,-
regle aussi,fonctionner,regles,directive_2010_64_eu_en.txt,-,fonctionnaire,-
5 articles,enchasser,proces equitable,directive_2010_64_eu_en.txt,-,-,-
article,garanties,de defense,directive_2010_64_eu_en.txt,-,garantie,depense
directif,respects,droits,directive_2010_64_eu_en.txt,directive,-,-
1 syndicat,ayant,de liberte,directive_2010_64_eu_en.txt,syndicat,-,-
reconnaissance mutuelle,devenir,droits individuels,directive_2010_64_eu_en.txt,-,-,-
-,c,-,directive_2010_64_eu_en.txt,-,-,-
-,position de,7 octobre,directive_2010_64_eu_en.txt,-,position dominante,-
autres issues,-,dans la zone,directive_2010_64_eu_en.txt,-,-,-
ce,montre,autres Etats membres,directive_2010_64_eu_en.txt,-,-,-
12 directive,se rapporte a,de feuille de route,directive_2010_64_eu_en.txt,directive,rapport,-
il,pose,parmi les Etats membres,directive_2010_64_eu_en.txt,-,-,-
13 directive,puise dans,9 mars,directive_2010_64_eu_en.txt,directive,-,-
OMS,inscrit dans,des droits de l'homme,directive_2010_64_eu_en.txt,-,-,droits de lhomme
directif,facilite,en pratique,directive_2010_64_eu_en.txt,directive,faillite:fiscalite,-
but,est,proces equitable,directive_2010_64_eu_en.txt,-,-,-
15 droits,appliquer,pour directive,directive_2010_64_eu_en.txt,-,-,directive
OMS,fournir,de la procedure,directive_2010_64_eu_en.txt,-,fournisseur,-
autorite,a,infractions mineures,directive_2010_64_eu_en.txt,autoroute,-,infraction
qui,etre,apres le controle du trafic,directive_2010_64_eu_en.txt,-,-,-
autorite deraisonnable competente,etre deraisonnable,sous directive,directive_2010_64_eu_en.txt,autoroute,-,directive
directif,appliquer,apres appel,directive_2010_64_eu_en.txt,directive,-,-
renforcement,a besoin,de l'echr,directive_2010_64_eu_en.txt,-,-,-
il,a besoin,dans l'echr,directive_2010_64_eu_en.txt,-,-,-
article,prevoit pour,cote de bordure,directive_2010_64_eu_en.txt,-,-,comte
regles minimales,fait reference a,dans lequel,directive_2010_64_eu_en.txt,-,refere,-
qui,mener a,confiance mutuelle,directive_2010_64_eu_en.txt,-,-,-
regles minimales communes,etablir,procedure penale,directive_2010_64_eu_en.txt,commune:communisme,-,procedure penale:procedure speciale
conseil de 2009,adopte,1,directive_2010_64_eu_en.txt,-,-,-
OMS,appeler pour,personnes soupconnees de mesure,directive_2010_64_eu_en.txt,-,-,personnel
il,accueilli,indiquer,directive_2010_64_eu_en.txt,-,-,-
Conseil europeen,souligne,1 jo c,directive_2010_64_eu_en.txt,Conseil europeen,-,-
-,decision,entre les Etats membres,directive_2010_64_eu_en.txt,-,decision,-
-,26.10.2010,-,directive_2010_64_eu_en.txt,-,-,-
-,revue de,de l'union europeenne,directive_2010_64_eu_en.txt,-,-,-
OMS,assurer,de la procedure,directive_2010_64_eu_en.txt,-,-,-
interpretation,fourni sans,sans delai,directive_2010_64_eu_en.txt,interpretation,four,-
longue periode,constituer,raisonnable dans des circonstances raisonnables,directive_2010_64_eu_en.txt,-,-,-
23 respect,compromis,loi nationale,directive_2010_64_eu_en.txt,-,-,loi:nationalisme:nationalite
autorites competentes,assurer,cas donne,directive_2010_64_eu_en.txt,-,-,-
personnes suspectes,ont,loi nationale,directive_2010_64_eu_en.txt,personnel,-,loi:nationalisme:nationalite
une telle decouverte,entrainer,mandat d'arret europeen,directive_2010_64_eu_en.txt,-,-,mandat:mandat darret europeen
autorites competentes,etre capable,interprete competent designe,directive_2010_64_eu_en.txt,-,-,interet
qui,sous-tend,de la justice,directive_2010_64_eu_en.txt,-,-,-
garantir les droits,assurer,prendre les mesures appropriees,directive_2010_64_eu_en.txt,garantie,-,-
ce,etre capable,avec equipement de visioconference,directive_2010_64_eu_en.txt,-,-,equipement industriel
29 directive,evalue en,experience pratique,directive_2010_64_eu_en.txt,directive,-,-
il,modifie,qui,directive_2010_64_eu_en.txt,-,-,-
communication,interprete en,avec directives,directive_2010_64_eu_en.txt,telecommunication,interet,directive
ce,etre capable,leur defense,directive_2010_64_eu_en.txt,-,-,depense
communication,interprete,de la procedure,directive_2010_64_eu_en.txt,telecommunication,interet,-
ils,assurer,d'interprete,directive_2010_64_eu_en.txt,-,-,-
ils,implique,d'interprete,directive_2010_64_eu_en.txt,-,-,-
Leur permettre,Fourni dans,de la procedure,directive_2010_64_eu_en.txt,-,four,-
-,je,de l'union europeenne,directive_2010_64_eu_en.txt,-,-,-
documents essentiels,a besoin,avec directives,directive_2010_64_eu_en.txt,document,-,directive
certains documents,considere comme essentiel,sa liberte,directive_2010_64_eu_en.txt,document,commune,-
autres documents,est,de la procedure,directive_2010_64_eu_en.txt,document,-,-
ces bases de donnees,faciliter,traducteurs juridiques,directive_2010_64_eu_en.txt,base de donnees,-,-
attention particuliere,versee a,27 novembre,directive_2010_64_eu_en.txt,-,-,-
